;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;35;2;50;2;3;3;6;0,02;0,05;DHR;in_sample_1_1x;15,348053697632725;0,789614174974868;-15,285204720620893;63,0
1;35;2;100;2;3;3;6;0,02;0,05;DHR;in_sample_1_1x;9,850196390209899;0,594429766043175;-14,762681725570015;58,0
2;42;2;50;2;3;3;6;0,02;0,05;DHR;in_sample_1_1x;8,377998220904903;0,4581786118060595;-26,84500197034869;70,0
3;42;2;100;2;3;3;6;0,02;0,05;DHR;in_sample_1_1x;3,6158277181333798;0,22692581401260326;-23,075896613878665;60,0
4;49;2;50;2;3;3;6;0,02;0,05;DHR;in_sample_1_1x;20,238647643230777;1,0067792678861092;-13,121289520872159;72,0
5;49;2;100;2;3;3;6;0,02;0,05;DHR;in_sample_1_1x;4,007088867066244;0,25777409502024284;-33,035042353725395;62,0
6;35;2;50;2;3;4;6;0,02;0,05;DHR;in_sample_1_1x;11,82568773921535;0,6726423815398406;-21,08609832633753;66,0
7;35;2;100;2;3;4;6;0,02;0,05;DHR;in_sample_1_1x;5,088839592991468;0,3103534653438444;-16,239509287392494;55,0
8;42;2;50;2;3;4;6;0,02;0,05;DHR;in_sample_1_1x;16,350517471443627;0,864909861718766;-20,17533172792174;65,0
9;42;2;100;2;3;4;6;0,02;0,05;DHR;in_sample_1_1x;12,76492225977972;0,784572639923474;-17,535523564266022;56,0
10;49;2;50;2;3;4;6;0,02;0,05;DHR;in_sample_1_1x;13,346626193899658;0,7154483995432735;-21,79547964306543;60,0
11;49;2;100;2;3;4;6;0,02;0,05;DHR;in_sample_1_1x;6,696204298543318;0,4151701595038921;-23,745499502100675;59,0
12;35;2;50;2;3;3;6;0,02;0,05;DHR;in_sample_2_1x;10,058695910257477;0,6184788775997324;-19,758051639904195;70,0
13;35;2;100;2;3;3;6;0,02;0,05;DHR;in_sample_2_1x;10,66862493185694;0,6735062555310715;-26,004627881509222;62,0
14;42;2;50;2;3;3;6;0,02;0,05;DHR;in_sample_2_1x;16,28690990822492;0,8801170775522931;-18,8891369337971;80,0
15;42;2;100;2;3;3;6;0,02;0,05;DHR;in_sample_2_1x;20,32416205618841;1,1382125574816981;-13,844689942351508;67,0
16;49;2;50;2;3;3;6;0,02;0,05;DHR;in_sample_2_1x;12,393107765092083;0,7452086734858042;-19,806550026998316;66,0
17;49;2;100;2;3;3;6;0,02;0,05;DHR;in_sample_2_1x;5,7307888783490135;0,353909461533058;-25,91823867911223;66,0
18;35;2;50;2;3;4;6;0,02;0,05;DHR;in_sample_2_1x;7,940003622751934;0,49473760282265;-31,280772250741773;68,0
19;35;2;100;2;3;4;6;0,02;0,05;DHR;in_sample_2_1x;8,152469449588251;0,5335522246758921;-16,335960242782566;57,0
20;42;2;50;2;3;4;6;0,02;0,05;DHR;in_sample_2_1x;21,062827749323265;1,0004272441011075;-15,58003414279192;75,0
21;42;2;100;2;3;4;6;0,02;0,05;DHR;in_sample_2_1x;16,953049810304364;0,9509799576262613;-20,145157367952926;62,0
22;49;2;50;2;3;4;6;0,02;0,05;DHR;in_sample_2_1x;9,569207324472572;0,6023934425965392;-17,529174295279624;66,0
23;49;2;100;2;3;4;6;0,02;0,05;DHR;in_sample_2_1x;-0,5912995477361793;-0,04234437427330845;-27,401425543560777;60,0
24;35;2;50;2;3;3;6;0,02;0,05;DHR;in_sample_3_1x;5,150754563470117;0,37656366618399295;-24,243566463805553;31,0
25;35;2;100;2;3;3;6;0,02;0,05;DHR;in_sample_3_1x;6,821222331876853;0,513995457417155;-24,870048470075346;25,0
26;42;2;50;2;3;3;6;0,02;0,05;DHR;in_sample_3_1x;2,140901343624413;0,16790555204405663;-23,569949877677608;30,0
27;42;2;100;2;3;3;6;0,02;0,05;DHR;in_sample_3_1x;0,45867634226650633;0,03904227833822184;-24,129006946417775;22,0
28;49;2;50;2;3;3;6;0,02;0,05;DHR;in_sample_3_1x;-0,8470956152185849;-0,07154202987865137;-24,03493078491532;27,0
29;49;2;100;2;3;3;6;0,02;0,05;DHR;in_sample_3_1x;0,31726555748667895;0,02723264769634033;-19,611398760882913;28,0
30;35;2;50;2;3;4;6;0,02;0,05;DHR;in_sample_3_1x;5,649676777034429;0,41667841448069276;-20,64561224248268;27,0
31;35;2;100;2;3;4;6;0,02;0,05;DHR;in_sample_3_1x;6,269492873520832;0,4600962347206813;-25,51788267471563;21,0
32;42;2;50;2;3;4;6;0,02;0,05;DHR;in_sample_3_1x;2,480571497736861;0,1986025860104581;-20,20805088474631;29,0
33;42;2;100;2;3;4;6;0,02;0,05;DHR;in_sample_3_1x;5,894674811593292;0,5155740452721129;-16,690594599523678;22,0
34;49;2;50;2;3;4;6;0,02;0,05;DHR;in_sample_3_1x;1,7297829338993154;0,1523028181924227;-16,573391910328983;25,0
35;49;2;100;2;3;4;6;0,02;0,05;DHR;in_sample_3_1x;-2,9498403870434453;-0,2689279035127144;-20,90290857698668;25,0
