;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;28;2;50;2;2;3;6;0,02;0,05;BA;in_sample_1_1x;39,6950904404656;1,4182585877392095;-20,498161304831452;101,0
1;28;2;100;2;2;3;6;0,02;0,05;BA;in_sample_1_1x;29,615811532539983;1,2388793517160348;-23,05648582938624;83,0
2;28;3;50;2;2;3;6;0,02;0,05;BA;in_sample_1_1x;27,51923086462009;1,1565704403996355;-16,638488264115093;87,0
3;28;3;100;2;2;3;6;0,02;0,05;BA;in_sample_1_1x;15,73869063885336;0,7438865274772413;-24,779386484282295;78,0
4;28;4;50;2;2;3;6;0,02;0,05;BA;in_sample_1_1x;19,404263695301548;0,9253448154321342;-21,55178173121921;75,0
5;28;4;100;2;2;3;6;0,02;0,05;BA;in_sample_1_1x;14,346366237596463;0,6875612662756533;-24,77937835786921;73,0
6;35;2;50;2;2;3;6;0,02;0,05;BA;in_sample_1_1x;26,334036257005057;1,1160345023504388;-13,548823711886172;107,0
7;35;2;100;2;2;3;6;0,02;0,05;BA;in_sample_1_1x;18,533579238491082;0,8489448304174584;-21,01210577575077;75,0
8;35;3;50;2;2;3;6;0,02;0,05;BA;in_sample_1_1x;20,223169096933603;0,9190249403743054;-15,225659176380157;86,0
9;35;3;100;2;2;3;6;0,02;0,05;BA;in_sample_1_1x;16,109891027552514;0,7898924601091856;-19,595636295234563;70,0
10;35;4;50;2;2;3;6;0,02;0,05;BA;in_sample_1_1x;18,13005285098854;0,8755206433507362;-15,225662979131549;77,0
11;35;4;100;2;2;3;6;0,02;0,05;BA;in_sample_1_1x;20,871614545781725;1,025938247488804;-19,595629731016416;66,0
12;42;2;50;2;2;3;6;0,02;0,05;BA;in_sample_1_1x;34,956278183131964;1,265299966640379;-14,411335752415887;103,0
13;42;2;100;2;2;3;6;0,02;0,05;BA;in_sample_1_1x;20,386622534310494;0,8963611184649212;-21,482658840844092;81,0
14;42;3;50;2;2;3;6;0,02;0,05;BA;in_sample_1_1x;30,61942711612422;1,2589083250327342;-20,122212762958235;83,0
15;42;3;100;2;2;3;6;0,02;0,05;BA;in_sample_1_1x;12,09413929315577;0,6047496916653721;-21,326018290038874;74,0
16;42;4;50;2;2;3;6;0,02;0,05;BA;in_sample_1_1x;14,566956925889563;0,7484515499583121;-19,16293578273872;64,0
17;42;4;100;2;2;3;6;0,02;0,05;BA;in_sample_1_1x;12,269426466664557;0,6739078733912195;-19,88017029730632;58,0
18;49;2;50;2;2;3;6;0,02;0,05;BA;in_sample_1_1x;20,04005136107918;0,8768605685013033;-16,006422715058356;98,0
19;49;2;100;2;2;3;6;0,02;0,05;BA;in_sample_1_1x;23,56015685532389;1,1366134621344797;-12,057233969358649;74,0
20;49;3;50;2;2;3;6;0,02;0,05;BA;in_sample_1_1x;19,801821224007334;0,9222208186462791;-14,565626170832369;90,0
21;49;3;100;2;2;3;6;0,02;0,05;BA;in_sample_1_1x;14,132044560238333;0,7789180431281788;-14,842487245056335;67,0
22;49;4;50;2;2;3;6;0,02;0,05;BA;in_sample_1_1x;16,095922846642097;0,7992118836426414;-17,806752388578605;79,0
23;49;4;100;2;2;3;6;0,02;0,05;BA;in_sample_1_1x;13,23061294225818;0,7980937168852138;-21,49602429509445;59,0
24;28;2;50;2;2;4;6;0,02;0,05;BA;in_sample_1_1x;32,82337006831322;1,2289695437845105;-21,88613918994887;92,0
25;28;2;100;2;2;4;6;0,02;0,05;BA;in_sample_1_1x;21,67274315314036;1,0047811029680431;-26,399632113007343;78,0
26;28;3;50;2;2;4;6;0,02;0,05;BA;in_sample_1_1x;31,234176767932208;1,3011255425463837;-14,838373321469833;80,0
27;28;3;100;2;2;4;6;0,02;0,05;BA;in_sample_1_1x;16,35854318183099;0,8270266412562117;-21,921906528625577;68,0
28;28;4;50;2;2;4;6;0,02;0,05;BA;in_sample_1_1x;22,82036557659053;1,078445260515657;-23,989436197884228;71,0
