;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;28;2;50;2;2;3;6;0,02;0,05;CINF;in_sample_1_1x;19,196494107397232;1,0563581388043586;-11,870018059762977;87,0
1;28;2;100;2;2;3;6;0,02;0,05;CINF;in_sample_1_1x;17,321510402853345;0,9779079335546327;-13,280938394964048;73,0
2;28;3;50;2;2;3;6;0,02;0,05;CINF;in_sample_1_1x;16,344089033558816;1,0669692532872461;-13,426031341489974;64,0
3;28;3;100;2;2;3;6;0,02;0,05;CINF;in_sample_1_1x;19,414280337711443;1,3173924608817302;-9,52103423343087;56,0
4;28;4;50;2;2;3;6;0,02;0,05;CINF;in_sample_1_1x;14,170439625115439;0,9905378295734432;-10,93423595833054;54,0
5;28;4;100;2;2;3;6;0,02;0,05;CINF;in_sample_1_1x;16,80373915309412;1,2065685901994556;-9,521040885207665;50,0
6;35;2;50;2;2;3;6;0,02;0,05;CINF;in_sample_1_1x;17,052294972248895;0,9473877181326373;-13,302441379661401;87,0
7;35;2;100;2;2;3;6;0,02;0,05;CINF;in_sample_1_1x;6,01714128082651;0,3812124453642647;-19,661728976105273;74,0
8;35;3;50;2;2;3;6;0,02;0,05;CINF;in_sample_1_1x;10,703786375913026;0,6494940970482295;-24,860972240272194;75,0
9;35;3;100;2;2;3;6;0,02;0,05;CINF;in_sample_1_1x;9,410275277077872;0,6180126288990065;-16,69485693822792;61,0
10;35;4;50;2;2;3;6;0,02;0,05;CINF;in_sample_1_1x;12,713237945035537;0,8558622832523458;-12,85899168800606;62,0
11;35;4;100;2;2;3;6;0,02;0,05;CINF;in_sample_1_1x;9,835042930271864;0,701782708658574;-13,71958964160127;53,0
12;42;2;50;2;2;3;6;0,02;0,05;CINF;in_sample_1_1x;32,349811211543745;1,5585817022612163;-11,419999144315529;87,0
13;42;2;100;2;2;3;6;0,02;0,05;CINF;in_sample_1_1x;18,517936076265016;1,0607946305483857;-14,586748437072838;71,0
14;42;3;50;2;2;3;6;0,02;0,05;CINF;in_sample_1_1x;23,406816374614902;1,2526384395294163;-20,433473900862243;70,0
15;42;3;100;2;2;3;6;0,02;0,05;CINF;in_sample_1_1x;8,75924701770252;0,5830793275918364;-15,629117333197406;60,0
16;42;4;50;2;2;3;6;0,02;0,05;CINF;in_sample_1_1x;19,04293681789666;1,1405795593041534;-11,984068471911314;54,0
17;42;4;100;2;2;3;6;0,02;0,05;CINF;in_sample_1_1x;3,353727758734415;0,25374824511576566;-18,485740282677355;50,0
18;49;2;50;2;2;3;6;0,02;0,05;CINF;in_sample_1_1x;21,07169455240687;1,1330913783730825;-15,430426055466384;86,0
19;49;2;100;2;2;3;6;0,02;0,05;CINF;in_sample_1_1x;16,544461429652202;1,006351633947346;-16,942137488708198;66,0
20;49;3;50;2;2;3;6;0,02;0,05;CINF;in_sample_1_1x;20,37851789738008;1,1720470483072631;-13,226252063462551;77,0
21;49;3;100;2;2;3;6;0,02;0,05;CINF;in_sample_1_1x;14,451134038691581;0,9541740371226307;-16,942141437589587;57,0
22;49;4;50;2;2;3;6;0,02;0,05;CINF;in_sample_1_1x;15,581865723529509;0,9421548467240616;-13,00157921570132;60,0
23;49;4;100;2;2;3;6;0,02;0,05;CINF;in_sample_1_1x;11,901053371464677;0,8685934198361585;-10,317528151097811;42,0
24;28;2;50;2;2;4;6;0,02;0,05;CINF;in_sample_1_1x;18,739884968946917;1,093268101018472;-9,955322515477183;78,0
25;28;2;100;2;2;4;6;0,02;0,05;CINF;in_sample_1_1x;19,231968914663966;1,0869146604365816;-11,126633707760615;75,0
26;28;3;50;2;2;4;6;0,02;0,05;CINF;in_sample_1_1x;13,296927149935357;0,8503521581170209;-12,180878896860703;65,0
27;28;3;100;2;2;4;6;0,02;0,05;CINF;in_sample_1_1x;15,732305014396752;1,119568279474748;-11,619728713211652;54,0
28;28;4;50;2;2;4;6;0,02;0,05;CINF;in_sample_1_1x;10,226085361213944;0,6962614326547448;-13,524531747181644;55,0
29;28;4;100;2;2;4;6;0,02;0,05;CINF;in_sample_1_1x;11,509214747355735;0,8625692047769946;-12,148262612985173;49,0
30;35;2;50;2;2;4;6;0,02;0,05;CINF;in_sample_1_1x;24,16318823301955;1,252684612013768;-13,199641823412755;84,0
31;35;2;100;2;2;4;6;0,02;0,05;CINF;in_sample_1_1x;11,014141440680781;0,6938111036949789;-16,69128723310265;70,0
32;35;3;50;2;2;4;6;0,02;0,05;CINF;in_sample_1_1x;13,07259167915924;0,7684166183488158;-16,092868049735486;73,0
