;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;28;2;50;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;28,368114009086188;0,9964885274831046;-16,876616664310262;102,0
1;28;2;100;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;28,06465868094392;1,0651822681098158;-14,485981033134587;80,0
2;28;3;50;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;21,75658160106042;0,8803479857996874;-15,36974589900285;87,0
3;28;3;100;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;24,326964794440787;1,0055183322478627;-16,32397853570189;68,0
4;28;4;50;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;12,766487184781084;0,5633693864379504;-21,451036314100357;78,0
5;28;4;100;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;23,945206411947595;0,9540922839049168;-14,28582830454218;67,0
6;35;2;50;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;24,072307663044956;0,8696034321681354;-18,766534158254842;103,0
7;35;2;100;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;35,94817875268077;1,3113281018517726;-14,221974013231875;86,0
8;35;3;50;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;18,488379917572175;0,7394047904005125;-26,970878933444588;85,0
9;35;3;100;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;40,474423523910374;1,5166490365975605;-7,957641791331726;66,0
10;35;4;50;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;24,52652215721738;1,0069633984264343;-14,182298624894841;68,0
11;35;4;100;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;31,850294155403212;1,3122021829552777;-13,598622611900469;52,0
12;42;2;50;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;27,274487813250726;1,1359952176132804;-25,96569198586238;94,0
13;42;2;100;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;15,196411653985177;0,7341693696101983;-17,167325182427106;76,0
14;42;3;50;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;22,802500662565993;1,1407747210736618;-14,856887912823314;76,0
15;42;3;100;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;20,46754963095687;0,981513510889045;-14,968257787634698;65,0
16;42;4;50;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;25,120008648653336;1,2791155482668786;-15,49827836209473;69,0
17;42;4;100;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;21,479278581015528;1,0435870280635489;-16,958399898511768;54,0
18;49;2;50;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;40,19388548767735;1,5409291383811368;-15,363535620473566;92,0
19;49;2;100;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;14,434515791934821;0,7070846754160959;-20,48819189867518;67,0
20;49;3;50;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;29,821981566277135;1,305073736353378;-11,752390688988667;82,0
21;49;3;100;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;10,950246108672946;0,5759268410902537;-24,767374159104094;57,0
22;49;4;50;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;28,317159771563748;1,1844241086259983;-11,752389764609584;64,0
23;49;4;100;2;2;3;6;0,02;0,05;MMC;in_sample_1_1x;16,519988237055095;0,7441931269424155;-20,21471909131236;54,0
