;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;21;2;50;2;2;3;6;0,02;0,05;VMC;in_sample_1_1x;29,32414712989424;1,2559085257843172;-12,891616163944054;93,0
1;21;2;100;2;2;3;6;0,02;0,05;VMC;in_sample_1_1x;32,31211058538064;1,45375744937786;-10,861882589592064;72,0
2;21;3;50;2;2;3;6;0,02;0,05;VMC;in_sample_1_1x;24,329485843285468;1,1697337871218787;-11,773362414163602;78,0
3;21;3;100;2;2;3;6;0,02;0,05;VMC;in_sample_1_1x;20,353561260705956;1,063437593056801;-10,861872000033056;64,0
4;21;4;50;2;2;3;6;0,02;0,05;VMC;in_sample_1_1x;17,757410810545736;1,0081702333893732;-14,99683327363287;60,0
5;21;4;100;2;2;3;6;0,02;0,05;VMC;in_sample_1_1x;17,83104885445015;1,0024549848158666;-11,089881141716296;53,0
6;21;2;50;2;2;4;6;0,02;0,05;VMC;in_sample_1_1x;31,509149739955113;1,3740805032958086;-11,80318335963838;90,0
7;21;2;100;2;2;4;6;0,02;0,05;VMC;in_sample_1_1x;28,168843965117297;1,3427799114027525;-12,108348724857665;72,0
8;21;3;50;2;2;4;6;0,02;0,05;VMC;in_sample_1_1x;21,738240333223313;1,0574037534405492;-11,803175248290632;75,0
9;21;3;100;2;2;4;6;0,02;0,05;VMC;in_sample_1_1x;20,978050319080666;1,109833039166906;-11,836818586243536;65,0
10;21;4;50;2;2;4;6;0,02;0,05;VMC;in_sample_1_1x;13,213089332882543;0,7937335416689653;-18,440781633112234;60,0
11;21;4;100;2;2;4;6;0,02;0,05;VMC;in_sample_1_1x;19,356369257258432;1,0947036722146457;-12,17343527715502;54,0
12;21;2;50;2;2;3;6;0,02;0,05;VMC;in_sample_2_1x;87,80877112862517;1,8138229685157905;-14,63154615887543;128,0
13;21;2;100;2;2;3;6;0,02;0,05;VMC;in_sample_2_1x;42,9793991868763;1,427199346668432;-20,009521023562904;87,0
14;21;3;50;2;2;3;6;0,02;0,05;VMC;in_sample_2_1x;71,42622874442507;1,7382119145298236;-13,968443112730933;94,0
15;21;3;100;2;2;3;6;0,02;0,05;VMC;in_sample_2_1x;34,74688018723522;1,3307311752616768;-16,318635763128462;70,0
16;21;4;50;2;2;3;6;0,02;0,05;VMC;in_sample_2_1x;54,69694214531964;1,740978048078499;-9,724292192295936;72,0
17;21;4;100;2;2;3;6;0,02;0,05;VMC;in_sample_2_1x;31,910141600780495;1,314190834143741;-9,61092612825597;61,0
18;21;2;50;2;2;4;6;0,02;0,05;VMC;in_sample_2_1x;71,46531760538615;1,588701543441194;-19,127580617768924;126,0
19;21;2;100;2;2;4;6;0,02;0,05;VMC;in_sample_2_1x;43,55195402012861;1,4726379856044753;-12,007931049777165;83,0
20;21;3;50;2;2;4;6;0,02;0,05;VMC;in_sample_2_1x;46,66374684235712;1,2788083785630227;-19,127604278482114;91,0
21;21;3;100;2;2;4;6;0,02;0,05;VMC;in_sample_2_1x;28,415662840651823;1,1377972313049927;-24,192827474566016;69,0
22;21;4;50;2;2;4;6;0,02;0,05;VMC;in_sample_2_1x;43,54434605157487;1,526337070742513;-12,541367487998611;69,0
23;21;4;100;2;2;4;6;0,02;0,05;VMC;in_sample_2_1x;22,00271732047203;0,9746547664805842;-29,709530761230774;59,0
24;21;2;50;2;2;3;6;0,02;0,05;VMC;in_sample_3_1x;23,627829578242697;1,1194519583507414;-13,106281210881255;55,0
25;21;2;100;2;2;3;6;0,02;0,05;VMC;in_sample_3_1x;7,308368008988508;0,4511866322091592;-11,490371669944855;38,0
26;21;3;50;2;2;3;6;0,02;0,05;VMC;in_sample_3_1x;5,145827610056797;0,2872498188020573;-20,599115895436316;52,0
27;21;3;100;2;2;3;6;0,02;0,05;VMC;in_sample_3_1x;12,142229886945088;0,7199286905792736;-10,407985512424068;36,0
28;21;4;50;2;2;3;6;0,02;0,05;VMC;in_sample_3_1x;10,698692992862057;0,6581468046636015;-15,813646761422184;43,0
29;21;4;100;2;2;3;6;0,02;0,05;VMC;in_sample_3_1x;12,127038006704293;0,7550876972352734;-10,407977316706473;36,0
30;21;2;50;2;2;4;6;0,02;0,05;VMC;in_sample_3_1x;16,205037382010843;0,7935759408836872;-19,5296282650277;55,0
31;21;2;100;2;2;4;6;0,02;0,05;VMC;in_sample_3_1x;15,028984308688464;0,914385064751609;-16,60167056465063;35,0
32;21;3;50;2;2;4;6;0,02;0,05;VMC;in_sample_3_1x;3,050235976503246;0,1810560671354768;-24,041586566513395;50,0
33;21;3;100;2;2;4;6;0,02;0,05;VMC;in_sample_3_1x;8,31489190526693;0,5548256825791661;-16,480090797527392;36,0
34;21;4;50;2;2;4;6;0,02;0,05;VMC;in_sample_3_1x;14,711410555329184;0,8883483047965095;-13,715050164000619;41,0
35;21;4;100;2;2;4;6;0,02;0,05;VMC;in_sample_3_1x;9,190949421171357;0,6165576585445652;-16,48009261564648;35,0
