;janela_rsi;ordem;lookback;d_max;num_pontos;break_min;ppt;sl;pt;ativo;cenario;return_ann;sharpe_ratio;max_drawdown;trades
0;42;2;100;2;3;3;6;0,02;0,05;DHR;in_sample_1_1x;3,6158277181333798;0,22692581401260326;-23,075896613878665;60,0
1;42;3;100;2;3;3;6;0,02;0,05;DHR;in_sample_1_1x;2,020476490775991;0,15872678686487046;-26,358973146247987;45,0
2;42;4;100;2;3;3;6;0,02;0,05;DHR;in_sample_1_1x;-0,12588645761817396;-0,01132614125607152;-31,561912573061058;39,0
3;42;5;100;2;3;3;6;0,02;0,05;DHR;in_sample_1_1x;0,850563407130811;0,09234950507195408;-25,20937573553238;27,0
4;42;7;100;2;3;3;6;0,02;0,05;DHR;in_sample_1_1x;3,9976269041821944;0,4305304769869911;-19,251053819088703;20,0
5;42;9;100;2;3;3;6;0,02;0,05;DHR;in_sample_1_1x;-2,6019503682087386;-0,3356927431231776;-23,04232091318077;15,0
6;42;10;100;2;3;3;6;0,02;0,05;DHR;in_sample_1_1x;-2,3540899546327765;-0,3026457749886668;-21,93616014707268;15,0
7;42;15;100;2;3;3;6;0,02;0,05;DHR;in_sample_1_1x;-0,6017868426449913;-0,11646386849907647;-12,171399061422806;4,0
8;42;20;100;2;3;3;6;0,02;0,05;DHR;in_sample_1_1x;-0,6017868426449913;-0,11646386849907647;-12,171399061422806;4,0
9;42;2;100;2;3;3;6;0,02;0,05;DHR;in_sample_2_1x;20,32416205618841;1,1382125574816981;-13,844689942351508;67,0
10;42;3;100;2;3;3;6;0,02;0,05;DHR;in_sample_2_1x;9,131088089203931;0,5959013491979993;-15,024105819372057;54,0
11;42;4;100;2;3;3;6;0,02;0,05;DHR;in_sample_2_1x;4,566766413732015;0,33806291501543706;-20,4383240870881;44,0
12;42;5;100;2;3;3;6;0,02;0,05;DHR;in_sample_2_1x;6,508151506320137;0,5002921906151541;-15,820038321625052;42,0
13;42;7;100;2;3;3;6;0,02;0,05;DHR;in_sample_2_1x;2,932857807906597;0,2588304972401651;-20,899914771019812;32,0
14;42;9;100;2;3;3;6;0,02;0,05;DHR;in_sample_2_1x;2,5286954544274876;0,28922254200318565;-9,995309829396815;17,0
15;42;10;100;2;3;3;6;0,02;0,05;DHR;in_sample_2_1x;2,220708553402284;0,2587043415559115;-9,995309829396815;16,0
16;42;15;100;2;3;3;6;0,02;0,05;DHR;in_sample_2_1x;-0,4940969291067576;-0,08363858427059749;-11,683846559267074;6,0
17;42;20;100;2;3;3;6;0,02;0,05;DHR;in_sample_2_1x;-0,979779676505832;-0,2410972291480113;-8,850302310794955;3,0
18;42;2;100;2;3;3;6;0,02;0,05;DHR;in_sample_3_1x;0,45867634226650633;0,03904227833822184;-24,129006946417775;22,0
19;42;3;100;2;3;3;6;0,02;0,05;DHR;in_sample_3_1x;0,3322129682979513;0,03099355388637142;-14,213584270064562;18,0
20;42;4;100;2;3;3;6;0,02;0,05;DHR;in_sample_3_1x;2,245665932439067;0,22086374525563585;-11,597768021991762;14,0
21;42;5;100;2;3;3;6;0,02;0,05;DHR;in_sample_3_1x;5,112814791853593;0,4857427168544527;-10,000465893323474;12,0
22;42;7;100;2;3;3;6;0,02;0,05;DHR;in_sample_3_1x;2,000908982362448;0,23789380182161304;-10,442717479569563;11,0
23;42;9;100;2;3;3;6;0,02;0,05;DHR;in_sample_3_1x;0,9542773936859428;0,1705257443711542;-6,725219973330898;7,0
24;42;10;100;2;3;3;6;0,02;0,05;DHR;in_sample_3_1x;2,4863165433269385;0,35269077848484426;-6,450926798731804;6,0
25;42;15;100;2;3;3;6;0,02;0,05;DHR;in_sample_3_1x;0,3458267169668794;0,12827811603373887;-4,056974770439902;3,0
26;42;20;100;2;3;3;6;0,02;0,05;DHR;in_sample_3_1x;1,1898755087932589;0,4784582484953534;-2,590585207073115;2,0
