indice;indice_original_lower_pivot;valor_rsi;support_slope;support_intercept;inicio_janela;fim_janela;mapeado;x_min;x_max;num_zeros
2,0;73,0;41,81494661921708;0,4530406549355373;8,742978808922857;49,0;98,0;1,0;66,0;96,0;4,0
4,0;73,0;41,81494661921708;0,4530406549355373;8,742978808922857;53,0;102,0;1,0;66,0;96,0;4,0
6,0;73,0;41,81494661921708;0,4530406549355373;8,742978808922857;55,0;104,0;1,0;66,0;103,0;5,0
8,0;73,0;41,81494661921708;0,4530406549355373;8,742978808922857;60,0;109,0;1,0;66,0;103,0;5,0
10,0;73,0;41,81494661921708;0,4530406549355373;8,742978808922857;66,0;115,0;1,0;66,0;103,0;5,0
12,0;73,0;41,81494661921708;0,4530406549355373;8,742978808922857;70,0;119,0;1,0;66,0;103,0;5,0
13,0;73,0;41,81494661921708;0,12898748662444573;32,39886009563254;73,0;122,0;1,0;66,0;120,0;3,0
27,0;120,0;47,87735849056603;0,2168135004229617;21,859738439810627;120,0;169,0;1,0;120,0;166,0;3,0
28,0;144,0;53,590664272890486;0,19364160168780842;25,706273629846073;123,0;172,0;1,0;73,0;166,0;4,0
29,0;144,0;53,590664272890486;-0,23284091643417204;87,11975623941126;123,0;172,0;1,0;128,0;166,0;3,0
30,0;144,0;53,590664272890486;0,13172061750650782;34,62289535195336;128,0;177,0;1,0;144,0;173,0;3,0
31,0;144,0;53,590664272890486;-0,23284091643417204;87,11975623941126;128,0;177,0;1,0;128,0;173,0;3,0
32,0;144,0;53,590664272890486;0,13172061750650782;34,62289535195336;131,0;180,0;1,0;144,0;173,0;3,0
34,0;181,0;55,98669623059866;0,06475762047859931;44,26556692397219;136,0;185,0;1,0;144,0;181,0;3,0
36,0;181,0;55,98669623059866;0,06475762047859931;44,26556692397219;140,0;189,0;1,0;144,0;186,0;3,0
38,0;181,0;55,98669623059866;0,06475762047859931;44,26556692397219;143,0;192,0;1,0;144,0;186,0;3,0
39,0;144,0;53,590664272890486;0,06475762047859931;44,26556692397219;144,0;193,0;1,0;144,0;193,0;4,0
40,0;157,0;59,35664335664335;-0,16731820518012025;85,62560156992222;154,0;203,0;1,0;157,0;193,0;4,0
47,0;204,0;40,5748316934231;-0,16026330323055726;73,26854555245677;181,0;230,0;1,0;204,0;230,0;3,0
49,0;204,0;40,5748316934231;-0,16026330323055726;73,26854555245677;185,0;234,0;1,0;204,0;230,0;3,0
51,0;204,0;40,5748316934231;-0,16026330323055726;73,26854555245677;186,0;235,0;1,0;204,0;235,0;3,0
53,0;204,0;40,5748316934231;-0,16026330323055726;73,26854555245677;193,0;242,0;1,0;204,0;235,0;3,0
55,0;225,0;37,2093023255814;0,18126587321348353;-3,575519147452397;196,0;245,0;1,0;225,0;235,0;3,0
56,0;225,0;37,2093023255814;-0,16026330323055726;73,26854555245677;196,0;245,0;1,0;204,0;235,0;3,0
57,0;225,0;37,2093023255814;0,11215992218285058;11,97331983444002;203,0;252,0;1,0;225,0;246,0;4,0
58,0;225,0;37,2093023255814;-0,16026330323055726;73,26854555245677;203,0;252,0;1,0;204,0;246,0;3,0
59,0;225,0;37,2093023255814;0,11215992218285058;11,97331983444002;204,0;253,0;1,0;225,0;253,0;5,0
60,0;225,0;37,2093023255814;-0,16026330323055726;73,26854555245677;204,0;253,0;1,0;204,0;253,0;3,0
61,0;225,0;37,2093023255814;0,07430367655733303;20,490975100181466;208,0;257,0;1,0;225,0;253,0;5,0
63,0;253,0;39,28980526918672;0,07430367655733303;20,490975100181466;225,0;274,0;1,0;225,0;258,0;5,0
64,0;253,0;39,28980526918672;0,7407597001597485;-148,12239887122962;230,0;279,0;1,0;253,0;275,0;3,0
65,0;253,0;39,28980526918672;0,05105102511034378;26,373895916269745;230,0;279,0;1,0;225,0;275,0;5,0
66,0;253,0;39,28980526918672;0,7407597001597485;-148,12239887122962;233,0;282,0;1,0;253,0;275,0;3,0
67,0;253,0;39,28980526918672;-0,02561356155204011;45,77003634185287;233,0;282,0;1,0;230,0;275,0;4,0
68,0;253,0;39,28980526918672;0,7407597001597485;-148,12239887122962;235,0;284,0;1,0;253,0;275,0;3,0
