;ponto;evento;reta;x_rompimento;y_rompimento;inicio_janela;fim_janela
0;155,0;1,0;8,0;155,0;61,28277153558053;97,0;147,0
1;155,0;1,0;9,0;155,0;61,28277153558053;101,0;151,0
2;156,0;1,0;8,0;155,0;61,28277153558053;97,0;147,0
3;158,0;1,0;8,0;155,0;61,28277153558053;97,0;147,0
4;158,0;1,0;9,0;155,0;61,28277153558053;101,0;151,0
5;159,0;1,0;8,0;155,0;61,28277153558053;97,0;147,0
6;159,0;1,0;9,0;155,0;61,28277153558053;101,0;151,0
7;160,0;1,0;8,0;155,0;61,28277153558053;97,0;147,0
8;160,0;1,0;9,0;155,0;61,28277153558053;101,0;151,0
9;240,0;1,0;16,0;240,0;44,41260744985673;173,0;223,0
10;241,0;1,0;16,0;240,0;44,41260744985673;173,0;223,0
11;242,0;1,0;16,0;240,0;44,41260744985673;173,0;223,0
12;243,0;1,0;14,0;243,0;48,70565675934804;151,0;201,0
13;243,0;1,0;16,0;240,0;44,41260744985673;173,0;223,0
14;243,0;1,0;17,0;243,0;48,70565675934804;173,0;223,0
15;244,0;1,0;14,0;243,0;48,70565675934804;151,0;201,0
16;244,0;1,0;16,0;240,0;44,41260744985673;173,0;223,0
17;244,0;1,0;17,0;243,0;48,70565675934804;173,0;223,0
18;247,0;1,0;14,0;243,0;48,70565675934804;151,0;201,0
19;247,0;1,0;17,0;243,0;48,70565675934804;173,0;223,0
20;248,0;1,0;14,0;243,0;48,70565675934804;151,0;201,0
21;248,0;1,0;17,0;243,0;48,70565675934804;173,0;223,0
22;248,0;1,0;19,0;248,0;53,35276967930029;193,0;243,0
23;249,0;1,0;18,0;248,0;53,35276967930029;195,0;245,0
24;249,0;1,0;19,0;248,0;53,35276967930029;193,0;243,0
25;250,0;1,0;18,0;248,0;53,35276967930029;195,0;245,0
26;250,0;1,0;19,0;248,0;53,35276967930029;193,0;243,0
27;251,0;1,0;18,0;248,0;53,35276967930029;195,0;245,0
28;251,0;1,0;19,0;248,0;53,35276967930029;193,0;243,0
29;263,0;1,0;18,0;263,0;46,38743455497382;195,0;245,0
30;263,0;1,0;19,0;263,0;46,38743455497382;193,0;243,0
31;264,0;1,0;18,0;263,0;46,38743455497382;195,0;245,0
32;264,0;1,0;19,0;263,0;46,38743455497382;193,0;243,0
33;265,0;1,0;18,0;263,0;46,38743455497382;195,0;245,0
34;265,0;1,0;19,0;263,0;46,38743455497382;193,0;243,0
35;266,0;1,0;18,0;263,0;46,38743455497382;195,0;245,0
36;266,0;1,0;19,0;263,0;46,38743455497382;193,0;243,0
37;275,0;1,0;20,0;275,0;56,53726767311481;217,0;267,0
38;276,0;1,0;20,0;275,0;56,53726767311481;217,0;267,0
39;277,0;1,0;20,0;275,0;56,53726767311481;217,0;267,0
40;278,0;1,0;20,0;275,0;56,53726767311481;217,0;267,0
41;296,0;1,0;20,0;294,0;54,75909949939914;217,0;267,0
42;297,0;1,0;20,0;294,0;54,75909949939914;217,0;267,0
43;342,0;1,0;23,0;342,0;45,15688999221819;284,0;334,0
44;344,0;1,0;23,0;342,0;45,15688999221819;284,0;334,0
45;345,0;1,0;23,0;342,0;45,15688999221819;284,0;334,0
46;346,0;1,0;23,0;342,0;45,15688999221819;284,0;334,0
47;349,0;1,0;20,0;349,0;54,1658096478981;217,0;267,0
48;350,0;1,0;20,0;349,0;54,1658096478981;217,0;267,0
49;350,0;1,0;24,0;346,0;48,62506998376384;296,0;346,0
50;374,0;1,0;24,0;370,0;40,82794233835528;296,0;346,0
51;397,0;1,0;24,0;395,0;38,61079831531168;296,0;346,0
52;398,0;1,0;24,0;395,0;38,61079831531168;296,0;346,0
53;446,0;1,0;24,0;444,0;21,902916956375122;296,0;346,0
54;447,0;1,0;24,0;444,0;21,902916956375122;296,0;346,0
55;448,0;1,0;24,0;444,0;21,902916956375122;296,0;346,0
56;455,0;1,0;27,0;455,0;26,179413373406774;387,0;437,0
57;455,0;1,0;30,0;455,0;26,179413373406774;396,0;446,0
58;465,0;1,0;31,0;465,0;27,56232796383013;407,0;457,0
59;466,0;1,0;31,0;465,0;27,56232796383013;407,0;457,0
60;469,0;1,0;25,0;469,0;36,52439048147002;337,0;387,0
61;469,0;1,0;26,0;469,0;36,52439048147002;349,0;399,0
62;470,0;1,0;25,0;469,0;36,52439048147002;337,0;387,0
63;470,0;1,0;26,0;469,0;36,52439048147002;349,0;399,0
64;471,0;1,0;25,0;469,0;36,52439048147002;337,0;387,0
65;471,0;1,0;26,0;469,0;36,52439048147002;349,0;399,0
66;472,0;1,0;25,0;469,0;36,52439048147002;337,0;387,0
67;472,0;1,0;26,0;469,0;36,52439048147002;349,0;399,0
68;473,0;1,0;25,0;469,0;36,52439048147002;337,0;387,0
69;473,0;1,0;26,0;469,0;36,52439048147002;349,0;399,0
70;474,0;1,0;25,0;469,0;36,52439048147002;337,0;387,0
