;ponto;evento;reta;x_rompimento;y_rompimento;inicio_janela;fim_janela
0;291,0;2,0;2,0;290,0;31,547630310768866;179,0;279,0
4;329,0;2,0;1,0;329,0;44,672149248376115;192,0;292,0
42;462,0;2,0;4,0;462,0;38,08352219366667;278,0;378,0
77;731,0;2,0;8,0;731,0;12,361316657477545;591,0;691,0
88;1085,0;2,0;12,0;1085,0;26,625393944082234;967,0;1067,0
89;1098,0;2,0;9,0;1098,0;17,161034671291702;815,0;915,0
100;1404,0;2,0;18,0;1404,0;40,41096695725332;1281,0;1381,0
107;1419,0;2,0;14,0;1419,0;25,668439379937936;1123,0;1223,0
113;1421,0;2,0;13,0;1421,0;15,297435883581386;1140,0;1240,0
129;1426,0;2,0;15,0;1426,0;3,384577463342211;1158,0;1258,0
